name;strasse;plz;ort;vorwahl;tel;url;opac;öffnungszeiten;bestandsgrößenklasse;unterhaltsträger;dbv;leitung;laenge;breite
Universitätsbibliothek München;Geschwister-Scholl-Pl. 1;80539;München;-89;21 80-2428;http://www.ub.uni-muenchen.de/;;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.573.599;48.143.439
Universitätsbibliothek der Julius-Maximilians-Universität ;Am Hubland;97074;Würzburg;-931;3 18 59 43;http://www.bibliothek.uni-wuerzburg.de;;Mo-Fr 8.00-21.00 (1.Aug.-31.Aug, 27.Dez.-5.Jan. 8.30-18.00). Sa 9.00-18.00;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;993.725;4.979.393
Herzogin Anna Amalia Bibliothek / Klassik Stiftung Weimar;Platz der Demokratie 4;99423;Weimar;-3643;5 45-200;http://www.klassik-stiftung.de;;Mo - Fr 9 -21 h, Sa 9 - 16 h;1.000.001 und mehr;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.329.741;50.980.761
IZUS / Universitätsbibliothek Stuttgart;Holzgartenstraße 16;70174;Stuttgart;711;685-82222;http://www.ub.uni-stuttgart.de/;;Mo - Fr: 8.00 - 24.00 Uhr, Sa - So: 10.00 - 24.00 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.177.734;48.775.817
Stadtbibliothek und Öffentliche Büchereien;Marktplatz 10;67547;Worms;-6241;8 53 42 00;http://www.stadtbibliothek-worms.de;http://opac.ulb.tu-darmstadt.de/opac/opac;Mo-Do 10-12 Uhr und Mo, Di, Do,  14-18 Uhr, Fr 10-18, Sa 10-13;300.001 bis 1.000.000;Kommune/Gemeinde;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.361.704;49.629.828
Medizinische Hochschule Hannover. Bibliothek;Carl-Neuberg-Str. 1;30625;Hannover;-511;532 - 3970;http://www.mh-hannover.de/bibliothek.html;;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.738.084;52.374.551
Bayerische Staatsbibliothek;Ludwigstraße 16;80539;München;89;28638-2365;http://www.bsb-muenchen.de;https://opacplus.bsb-muenchen.de/metaopac/start.do?SearchType=2;Allgemeiner Lesesaal: Mo-So 8-24 Uhr, allgemeine Information Mo-Fr 9-19 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.573.599;48.143.439
Württembergische Landesbibliothek;Konrad-Adenauer-Str. 8;70173;Stuttgart;-711;2 12-4424 und 4454;http://www.wlb-stuttgart.de;http://www.wlb-stuttgart.de/sonstiges/online-katalog/;Mo-Fr 8-20 Uhr, Sa 9-13 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.177.734;48.775.817
Wissenschaftliche Stadtbibliothek Mainz;Rheinallee 3 B;55116;Mainz;-6131;Dez 49;http://www.bibliothek.mainz.de;;Mo - Mi 10:00 - 18:00 und Fr und Sa 10:00 - 13:00;300.001 bis 1.000.000;Kommune/Gemeinde;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.271.855;50.001.959
Universitäts- und Landesbibliothek Düsseldorf;Universitätsstraße 1;40225;Düsseldorf;-211;81-12030;http://www.ulb.hhu.de/;http://katalog.ulb.hhu.de/;mo-fr 8-24, sa, so 9-24;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.780.068;5.122.422
